Araucaria.angustifolia;Cinnamomum.amoenum;Drimys.angustifolia;Ilex.microdonta;Ilex.paraguariensis;Maytenus.boaria;Myrceugenia.euosma;Myrceugenia.glaucescens;Myrceugenia.miersiania;Myrceugenia.myrcioides;Myrceugenia.ovata;Myrceugenia.oxysepala;Myrrhinium.atropurpureum;Myrsine.coriacea;Ocotea.pulchella;Prunus.myrtifolia;Schinus.polygamus;Symplocos.tetrandra;Weinmannia.paulliniifolia
0;0;0;14;0;0;0;45;0;0;3;0;0;0;4;3;1;0;0
0;0;2;19;0;0;1;29;0;0;0;0;0;0;7;2;0;0;0
0;0;1;30;0;1;0;26;2;0;0;1;0;0;4;2;3;0;0
1;0;2;12;0;1;1;21;0;2;0;5;0;1;6;3;0;0;0
0;10;4;1;1;4;2;16;0;1;0;11;3;2;2;4;2;3;0
0;5;22;7;3;3;2;21;0;0;0;0;1;8;0;4;3;2;5
0;0;1;11;0;0;0;29;1;0;2;0;1;0;5;9;0;0;0
0;0;1;27;0;0;0;31;0;0;0;0;0;0;5;2;0;1;1
0;0;1;32;0;0;0;27;0;0;1;0;0;0;3;0;0;0;3
0;2;4;8;0;0;2;18;3;0;0;6;0;1;3;2;0;1;0
0;5;1;2;0;3;1;7;1;3;0;6;4;0;1;7;1;1;4
0;1;6;3;0;7;1;8;1;5;0;1;1;3;1;4;4;1;4
0;7;3;6;1;1;1;10;1;1;0;4;3;1;2;0;0;4;7
0;4;2;5;3;1;5;8;0;0;1;6;1;1;0;4;1;11;7
1;0;3;16;0;1;0;16;5;0;11;0;0;0;3;2;1;0;0
0;0;8;24;0;0;2;27;0;0;1;0;0;0;2;4;0;0;6
3;0;3;19;0;0;2;10;0;0;6;0;0;0;3;1;0;0;0
0;0;10;5;1;0;0;15;0;0;5;1;0;0;3;4;0;0;0
2;0;0;6;0;1;0;22;0;0;8;1;0;0;1;2;0;0;0
1;0;1;10;0;2;1;37;0;0;11;0;0;0;1;1;1;0;2
0;0;0;11;2;4;1;14;1;1;3;2;0;0;1;4;0;2;1
0;1;0;2;0;4;1;16;0;0;0;1;0;0;6;3;0;1;0
0;3;1;1;1;4;3;2;2;1;1;2;5;0;1;7;1;2;0
0;0;12;2;0;5;0;24;0;2;3;7;0;1;2;6;2;0;0
0;0;1;4;1;1;1;33;1;0;1;8;0;1;3;2;0;0;0
